Input Prompt,Target Response
what's2/12?,2/12=0.16666666666666666
value of 21x17?,21x17=357
what's21-17?,21-17=4
what's18/19?,18/19=0.9473684210526315
What is 5-17?,5-17=-12
What is 5x16?,5x16=80
value of 5-6?,5-6=-1
what's12/11?,12/11=1.0909090909090908
value of 19/20?,19/20=0.95
what's2/13?,2/13=0.15384615384615385
what's1x19?,1x19=19
value of 11x8?,11x8=88
What is 3/6?,3/6=0.5
value of 20x17?,20x17=340
what's5+6?,5+6=11
what's11x5?,11x5=55
What is 12x8?,12x8=96
What is 4-19?,4-19=-15
what's6/1?,6/1=6.0
value of 13+5?,13+5=18
What is 4-8?,4-8=-4
value of 1/19?,1/19=0.05263157894736842
What is 21/2?,21/2=10.5
value of 4x15?,4x15=60
" hey, what's6-3?",6-3=3
value of 10x12?,10x12=120
" hey, what's15-6?",15-6=9
value of 15/12?,15/12=1.25
" hey, what's3+19?",3+19=22
what's17+5?,17+5=22
" hey, what's17/2?",17/2=8.5
" hey, what's16-6?",16-6=10
" hey, what's16/2?",16/2=8.0
" hey, what's10x3?",10x3=30
" hey, what's11+13?",11+13=24
" hey, what's16-19?",16-19=-3
" hey, what's21+1?",21+1=22
what's13/5?,13/5=2.6
" hey, what's12+6?",12+6=18
" hey, what's5/3?",5/3=1.6666666666666667
value of 13+14?,13+14=27
what's12+10?,12+10=22
value of 14-10?,14-10=4
value of 10x1?,10x1=10
what's5/16?,5/16=0.3125
what's10/11?,10/11=0.9090909090909091
What is 7+4?,7+4=11
value of 6+18?,6+18=24
what's3x12?,3x12=36
value of 5/20?,5/20=0.25
value of 18+2?,18+2=20
What is 15-19?,15-19=-4
what's4/17?,4/17=0.23529411764705882
value of 6-1?,6-1=5
value of 16+12?,16+12=28
value of 17-10?,17-10=7
what's9+14?,9+14=23
value of 6+10?,6+10=16
What is 13+12?,13+12=25
what's12-19?,12-19=-7
" hey, what's20/1?",20/1=20.0
value of 18+19?,18+19=37
value of 19x6?,19x6=114
What is 18-11?,18-11=7
" hey, what's5x20?",5x20=100
What is 2x8?,2x8=16
value of 6+17?,6+17=23
What is 11-9?,11-9=2
value of 6x15?,6x15=90
value of 18/7?,18/7=2.5714285714285716
" hey, what's21x20?",21x20=420
what's7+19?,7+19=26
" hey, what's10+8?",10+8=18
What is 4/10?,4/10=0.4
what's16x15?,16x15=240
what's3+6?,3+6=9
" hey, what's2x6?",2x6=12
What is 16+9?,16+9=25
what's16+5?,16+5=21
" hey, what's5+20?",5+20=25
value of 11/19?,11/19=0.5789473684210527
value of 9-17?,9-17=-8
what's15x12?,15x12=180
value of 1/18?,1/18=0.05555555555555555
What is 3-3?,3-3=0
value of 17+3?,17+3=20
What is 6x2?,6x2=12
value of 13-1?,13-1=12
" hey, what's7/11?",7/11=0.6363636363636364
what's18x4?,18x4=72
what's10x1?,10x1=10
" hey, what's1/16?",1/16=0.0625
What is 12+3?,12+3=15
" hey, what's20/6?",20/6=3.3333333333333335
what's2/2?,2/2=1.0
What is 4/14?,4/14=0.2857142857142857
What is 5-5?,5-5=0
What is 7x5?,7x5=35
" hey, what's6/8?",6/8=0.75
value of 1-12?,1-12=-11
what's4-20?,4-20=-16
What is 18x16?,18x16=288
value of 12/14?,12/14=0.8571428571428571
what's3+1?,3+1=4
what's2-9?,2-9=-7
What is 16x11?,16x11=176
" hey, what's12-1?",12-1=11
value of 15x7?,15x7=105
What is 14-9?,14-9=5
" hey, what's3-6?",3-6=-3
what's11x11?,11x11=121
value of 1x6?,1x6=6
what's16x13?,16x13=208
" hey, what's16/9?",16/9=1.7777777777777777
value of 15-10?,15-10=5
" hey, what's11/1?",11/1=11.0
" hey, what's1-13?",1-13=-12
What is 13/9?,13/9=1.4444444444444444
what's3-11?,3-11=-8
What is 5/2?,5/2=2.5
value of 8+7?,8+7=15
what's5x3?,5x3=15
What is 13/13?,13/13=1.0
value of 2-12?,2-12=-10
value of 2-14?,2-14=-12
What is 15-7?,15-7=8
" hey, what's13x18?",13x18=234
What is 18-5?,18-5=13
what's1-2?,1-2=-1
" hey, what's6/10?",6/10=0.6
value of 6x9?,6x9=54
what's3-3?,3-3=0
What is 8x15?,8x15=120
" hey, what's20-13?",20-13=7
what's3-2?,3-2=1
What is 4/11?,4/11=0.36363636363636365
value of 3+17?,3+17=20
What is 2-1?,2-1=1
what's11-7?,11-7=4
what's8/17?,8/17=0.47058823529411764
What is 21+13?,21+13=34
" hey, what's17+7?",17+7=24
value of 18/10?,18/10=1.8
What is 1+4?,1+4=5
" hey, what's5/7?",5/7=0.7142857142857143
value of 16-2?,16-2=14
What is 12/17?,12/17=0.7058823529411765
" hey, what's15-15?",15-15=0
value of 17x2?,17x2=34
value of 21-7?,21-7=14
value of 18+12?,18+12=30
What is 15/13?,15/13=1.1538461538461537
what's18/10?,18/10=1.8
" hey, what's15+14?",15+14=29
What is 20x19?,20x19=380
What is 8+9?,8+9=17
" hey, what's1+4?",1+4=5
what's1-6?,1-6=-5
what's10x17?,10x17=170
What is 1-4?,1-4=-3
value of 12/17?,12/17=0.7058823529411765
" hey, what's2/14?",2/14=0.14285714285714285
what's13-7?,13-7=6
value of 15x14?,15x14=210
" hey, what's1x14?",1x14=14
value of 19/17?,19/17=1.1176470588235294
What is 20/20?,20/20=1.0
What is 5+17?,5+17=22
What is 16-7?,16-7=9
" hey, what's3-19?",3-19=-16
What is 18/12?,18/12=1.5
what's17/16?,17/16=1.0625
what's17/1?,17/1=17.0
what's6/10?,6/10=0.6
what's2x1?,2x1=2
what's17-8?,17-8=9
value of 5/16?,5/16=0.3125
value of 6x18?,6x18=108
What is 4/6?,4/6=0.6666666666666666
what's13/8?,13/8=1.625
what's16x4?,16x4=64
value of 13x4?,13x4=52
What is 5-1?,5-1=4
what's21x8?,21x8=168
" hey, what's8+13?",8+13=21
" hey, what's1-11?",1-11=-10
value of 6/1?,6/1=6.0
value of 14/2?,14/2=7.0
" hey, what's7+1?",7+1=8
value of 6/6?,6/6=1.0
value of 2-8?,2-8=-6
" hey, what's7+18?",7+18=25
What is 15/9?,15/9=1.6666666666666667
" hey, what's18+13?",18+13=31
what's12/15?,12/15=0.8
What is 2x17?,2x17=34
" hey, what's4x8?",4x8=32
What is 15x12?,15x12=180
value of 17+1?,17+1=18
what's6+16?,6+16=22
" hey, what's9-18?",9-18=-9
What is 20/6?,20/6=3.3333333333333335
What is 9+20?,9+20=29
value of 1/1?,1/1=1.0
what's14/9?,14/9=1.5555555555555556
value of 1/7?,1/7=0.14285714285714285
value of 14/11?,14/11=1.2727272727272727
What is 13+9?,13+9=22
" hey, what's18+12?",18+12=30
value of 20x15?,20x15=300
what's18x6?,18x6=108
What is 5/17?,5/17=0.29411764705882354
value of 11+2?,11+2=13
" hey, what's18/2?",18/2=9.0
what's10x14?,10x14=140
What is 4x17?,4x17=68
" hey, what's10+14?",10+14=24
value of 18+8?,18+8=26
what's5-10?,5-10=-5
What is 21-9?,21-9=12
What is 17/4?,17/4=4.25
What is 17/7?,17/7=2.4285714285714284
" hey, what's12/6?",12/6=2.0
" hey, what's7/15?",7/15=0.4666666666666667
" hey, what's6x4?",6x4=24
What is 14-4?,14-4=10
" hey, what's11/20?",11/20=0.55
value of 13-16?,13-16=-3
what's12+16?,12+16=28
" hey, what's18x9?",18x9=162
What is 17+13?,17+13=30
" hey, what's9x6?",9x6=54
What is 3x11?,3x11=33
What is 2/16?,2/16=0.125
what's7/12?,7/12=0.5833333333333334
What is 17-14?,17-14=3
What is 21+18?,21+18=39
What is 2x7?,2x7=14
what's17x11?,17x11=187
What is 16-10?,16-10=6
" hey, what's7+9?",7+9=16
what's3/17?,3/17=0.17647058823529413
" hey, what's14/16?",14/16=0.875
What is 20+16?,20+16=36
what's3+2?,3+2=5
" hey, what's15x20?",15x20=300
what's21/4?,21/4=5.25
" hey, what's4/9?",4/9=0.4444444444444444
What is 7/7?,7/7=1.0
" hey, what's20+16?",20+16=36
What is 4-4?,4-4=0
what's10-14?,10-14=-4
What is 12x4?,12x4=48
value of 13-14?,13-14=-1
" hey, what's14+19?",14+19=33
" hey, what's10/17?",10/17=0.5882352941176471
" hey, what's6/11?",6/11=0.5454545454545454
What is 19+13?,19+13=32
" hey, what's8+18?",8+18=26
what's6-18?,6-18=-12
what's5/5?,5/5=1.0
What is 5/3?,5/3=1.6666666666666667
What is 17-4?,17-4=13
What is 10-4?,10-4=6
what's16-14?,16-14=2
what's19/20?,19/20=0.95
" hey, what's18+8?",18+8=26
what's17x6?,17x6=102
What is 9-14?,9-14=-5
" hey, what's8/9?",8/9=0.8888888888888888
What is 7/3?,7/3=2.3333333333333335
what's15-7?,15-7=8
value of 8x15?,8x15=120
" hey, what's9-17?",9-17=-8
what's12-13?,12-13=-1
what's9/14?,9/14=0.6428571428571429
What is 15+8?,15+8=23
what's12+4?,12+4=16
What is 4/1?,4/1=4.0
what's3-10?,3-10=-7
value of 16+3?,16+3=19
What is 18+11?,18+11=29
" hey, what's1/6?",1/6=0.16666666666666666
what's12x2?,12x2=24
what's4/11?,4/11=0.36363636363636365
" hey, what's7-3?",7-3=4
value of 4+9?,4+9=13
value of 10x10?,10x10=100
" hey, what's14-2?",14-2=12
" hey, what's10x7?",10x7=70
What is 3/5?,3/5=0.6
value of 2+10?,2+10=12
What is 21/20?,21/20=1.05
What is 10+13?,10+13=23
What is 1+10?,1+10=11
" hey, what's12-18?",12-18=-6
value of 20-10?,20-10=10
value of 2/16?,2/16=0.125
what's16/9?,16/9=1.7777777777777777
" hey, what's1+19?",1+19=20
" hey, what's8-14?",8-14=-6
value of 2-19?,2-19=-17
" hey, what's9/12?",9/12=0.75
value of 15-15?,15-15=0
what's9/16?,9/16=0.5625
value of 20/11?,20/11=1.8181818181818181
what's4+14?,4+14=18
what's16+1?,16+1=17
" hey, what's21/17?",21/17=1.2352941176470589
" hey, what's10x10?",10x10=100
What is 19/11?,19/11=1.7272727272727273
What is 19+14?,19+14=33
" hey, what's4/18?",4/18=0.2222222222222222
What is 18+17?,18+17=35
" hey, what's6/18?",6/18=0.3333333333333333
" hey, what's6+2?",6+2=8
" hey, what's8+2?",8+2=10
what's20x11?,20x11=220
What is 1/4?,1/4=0.25
What is 11+12?,11+12=23
" hey, what's5+18?",5+18=23
" hey, what's10+5?",10+5=15
value of 20-1?,20-1=19
what's5/11?,5/11=0.45454545454545453
what's2x17?,2x17=34
" hey, what's4-12?",4-12=-8
what's3x17?,3x17=51
what's10x5?,10x5=50
value of 16+15?,16+15=31
" hey, what's13x11?",13x11=143
value of 17/17?,17/17=1.0
" hey, what's9-12?",9-12=-3
What is 10/4?,10/4=2.5
value of 11+18?,11+18=29
value of 5-15?,5-15=-10
What is 5/10?,5/10=0.5
value of 17+20?,17+20=37
" hey, what's13/4?",13/4=3.25
value of 4+7?,4+7=11
what's8/5?,8/5=1.6
What is 8x2?,8x2=16
value of 13+9?,13+9=22
What is 13x13?,13x13=169
" hey, what's11-1?",11-1=10
What is 2-3?,2-3=-1
value of 6+14?,6+14=20
" hey, what's19+12?",19+12=31
" hey, what's14/3?",14/3=4.666666666666667
value of 17+4?,17+4=21
" hey, what's17/7?",17/7=2.4285714285714284
what's21+3?,21+3=24
what's16+13?,16+13=29
what's2/6?,2/6=0.3333333333333333
" hey, what's19x13?",19x13=247
" hey, what's10x20?",10x20=200
" hey, what's18+14?",18+14=32
what's16+18?,16+18=34
value of 5/2?,5/2=2.5
what's2-3?,2-3=-1
" hey, what's10/18?",10/18=0.5555555555555556
What is 2+8?,2+8=10
what's21/3?,21/3=7.0
value of 17-16?,17-16=1
What is 18+5?,18+5=23
What is 7+11?,7+11=18
" hey, what's15-4?",15-4=11
value of 11+1?,11+1=12
What is 11-6?,11-6=5
" hey, what's12/19?",12/19=0.631578947368421
What is 11+5?,11+5=16
what's2-10?,2-10=-8
" hey, what's14x13?",14x13=182
what's17-14?,17-14=3
" hey, what's12/14?",12/14=0.8571428571428571
value of 5+9?,5+9=14
What is 6x16?,6x16=96
" hey, what's19x18?",19x18=342
what's21/5?,21/5=4.2
" hey, what's14-14?",14-14=0
value of 18-6?,18-6=12
" hey, what's6-2?",6-2=4
value of 20/12?,20/12=1.6666666666666667
what's2-17?,2-17=-15
" hey, what's17+1?",17+1=18
What is 6+18?,6+18=24
what's12/18?,12/18=0.6666666666666666
what's6+20?,6+20=26
value of 12/4?,12/4=3.0
what's4-3?,4-3=1
What is 19-20?,19-20=-1
value of 16/8?,16/8=2.0
what's5+8?,5+8=13
What is 19+7?,19+7=26
" hey, what's18+11?",18+11=29
what's16+20?,16+20=36
what's1x8?,1x8=8
" hey, what's8-16?",8-16=-8
What is 7-10?,7-10=-3
value of 18/19?,18/19=0.9473684210526315
value of 1-10?,1-10=-9
What is 4+17?,4+17=21
What is 20-12?,20-12=8
What is 6x9?,6x9=54
value of 14x8?,14x8=112
what's20/13?,20/13=1.5384615384615385
value of 1+7?,1+7=8
" hey, what's2/17?",2/17=0.11764705882352941
value of 13-4?,13-4=9
what's18x17?,18x17=306
" hey, what's8x11?",8x11=88
" hey, what's8-4?",8-4=4
" hey, what's1/19?",1/19=0.05263157894736842
What is 14+8?,14+8=22
value of 1+12?,1+12=13
value of 4+1?,4+1=5
What is 2+10?,2+10=12
" hey, what's15x4?",15x4=60
what's15/4?,15/4=3.75
What is 13-15?,13-15=-2
What is 16+6?,16+6=22
value of 12-12?,12-12=0
What is 15x19?,15x19=285
What is 11+19?,11+19=30
What is 3x12?,3x12=36
value of 1x12?,1x12=12
What is 6/7?,6/7=0.8571428571428571
what's4+13?,4+13=17
value of 19-6?,19-6=13
what's16+7?,16+7=23
value of 10/18?,10/18=0.5555555555555556
what's10/9?,10/9=1.1111111111111112
what's21x7?,21x7=147
value of 8/5?,8/5=1.6
what's12-16?,12-16=-4
" hey, what's7-14?",7-14=-7
What is 21+11?,21+11=32
what's1/4?,1/4=0.25
what's19+2?,19+2=21
value of 21+12?,21+12=33
value of 18+20?,18+20=38
value of 8x16?,8x16=128
" hey, what's11/7?",11/7=1.5714285714285714
value of 3-13?,3-13=-10
" hey, what's18-1?",18-1=17
" hey, what's7/18?",7/18=0.3888888888888889
value of 2-9?,2-9=-7
what's15x1?,15x1=15
what's19+3?,19+3=22
What is 4x2?,4x2=8
value of 1x14?,1x14=14
" hey, what's4+16?",4+16=20
value of 17+10?,17+10=27
what's4+8?,4+8=12
" hey, what's18/14?",18/14=1.2857142857142858
what's12x14?,12x14=168
What is 2+3?,2+3=5
" hey, what's15x9?",15x9=135
what's15-12?,15-12=3
What is 12x20?,12x20=240
" hey, what's3/6?",3/6=0.5
What is 9-11?,9-11=-2
" hey, what's21/11?",21/11=1.9090909090909092
what's10-13?,10-13=-3
What is 19x10?,19x10=190
what's18-19?,18-19=-1
value of 1+8?,1+8=9
What is 4+10?,4+10=14
" hey, what's2+17?",2+17=19
what's11-20?,11-20=-9
value of 7+14?,7+14=21
What is 8x7?,8x7=56
What is 6-15?,6-15=-9
" hey, what's2-11?",2-11=-9
What is 19-11?,19-11=8
what's2-2?,2-2=0
What is 19/15?,19/15=1.2666666666666666
" hey, what's14x4?",14x4=56
" hey, what's11-3?",11-3=8
What is 13x10?,13x10=130
value of 11/3?,11/3=3.6666666666666665
What is 6x8?,6x8=48
What is 18x12?,18x12=216
value of 20+16?,20+16=36
" hey, what's11x2?",11x2=22
what's8+4?,8+4=12
" hey, what's14-19?",14-19=-5
What is 9+8?,9+8=17
" hey, what's18-2?",18-2=16
what's16/10?,16/10=1.6
value of 7+1?,7+1=8
What is 4x5?,4x5=20
" hey, what's13/3?",13/3=4.333333333333333
what's18-15?,18-15=3
" hey, what's18-12?",18-12=6
" hey, what's17-2?",17-2=15
value of 3+9?,3+9=12
what's5x11?,5x11=55
What is 15x4?,15x4=60
value of 11-6?,11-6=5
What is 2+12?,2+12=14
value of 17x7?,17x7=119
value of 11+6?,11+6=17
value of 14-9?,14-9=5
" hey, what's8+19?",8+19=27
value of 16/16?,16/16=1.0
value of 9x13?,9x13=117
What is 21/18?,21/18=1.1666666666666667
" hey, what's10x18?",10x18=180
value of 12x14?,12x14=168
What is 12-19?,12-19=-7
what's6+17?,6+17=23
" hey, what's9-11?",9-11=-2
value of 6/12?,6/12=0.5
" hey, what's21x8?",21x8=168
value of 10+4?,10+4=14
What is 4x11?,4x11=44
" hey, what's2-6?",2-6=-4
value of 4+18?,4+18=22
what's14x5?,14x5=70
value of 17-9?,17-9=8
value of 2/9?,2/9=0.2222222222222222
" hey, what's14/6?",14/6=2.3333333333333335
what's15/2?,15/2=7.5
What is 2-6?,2-6=-4
" hey, what's14x14?",14x14=196
What is 6-19?,6-19=-13
what's10x8?,10x8=80
what's17/9?,17/9=1.8888888888888888
what's20x2?,20x2=40
What is 8x18?,8x18=144
" hey, what's15x18?",15x18=270
what's20+14?,20+14=34
What is 15/2?,15/2=7.5
" hey, what's20+19?",20+19=39
value of 21/1?,21/1=21.0
value of 7+13?,7+13=20
" hey, what's19/13?",19/13=1.4615384615384615
what's8+17?,8+17=25
value of 11/13?,11/13=0.8461538461538461
value of 2-11?,2-11=-9
value of 13+13?,13+13=26
value of 12+20?,12+20=32
" hey, what's12-5?",12-5=7
" hey, what's1+8?",1+8=9
what's18/11?,18/11=1.6363636363636365
what's11-11?,11-11=0
" hey, what's8-20?",8-20=-12
" hey, what's5/6?",5/6=0.8333333333333334
value of 10/11?,10/11=0.9090909090909091
what's21x9?,21x9=189
" hey, what's20-4?",20-4=16
" hey, what's19+6?",19+6=25
What is 12/7?,12/7=1.7142857142857142
value of 7+5?,7+5=12
" hey, what's4-18?",4-18=-14
value of 21-6?,21-6=15
What is 10x19?,10x19=190
What is 10/8?,10/8=1.25
value of 20x1?,20x1=20
value of 14-18?,14-18=-4
" hey, what's12x16?",12x16=192
value of 8x18?,8x18=144
" hey, what's7+7?",7+7=14
" hey, what's15x3?",15x3=45
" hey, what's14x5?",14x5=70
value of 10/8?,10/8=1.25
What is 13/8?,13/8=1.625
What is 8-13?,8-13=-5
value of 15+13?,15+13=28
What is 16/9?,16/9=1.7777777777777777
what's4x16?,4x16=64
" hey, what's20x8?",20x8=160
What is 17+4?,17+4=21
" hey, what's1-7?",1-7=-6
What is 18-16?,18-16=2
" hey, what's1-20?",1-20=-19
what's15+3?,15+3=18
value of 10x7?,10x7=70
What is 7/1?,7/1=7.0
" hey, what's7/14?",7/14=0.5
" hey, what's12+8?",12+8=20
value of 16-12?,16-12=4
what's17x13?,17x13=221
What is 9/12?,9/12=0.75
" hey, what's5+3?",5+3=8
what's13+2?,13+2=15
" hey, what's21+14?",21+14=35
what's1x9?,1x9=9
what's3-16?,3-16=-13
What is 8/5?,8/5=1.6
What is 10+7?,10+7=17
" hey, what's18x5?",18x5=90
What is 12+18?,12+18=30
What is 6/20?,6/20=0.3
what's7/4?,7/4=1.75
what's18+5?,18+5=23
what's9+15?,9+15=24
What is 6+12?,6+12=18
value of 10x20?,10x20=200
what's19-17?,19-17=2
value of 13x19?,13x19=247
what's19x1?,19x1=19
what's9x8?,9x8=72
what's9+5?,9+5=14
what's5+14?,5+14=19
What is 4/8?,4/8=0.5
value of 9-5?,9-5=4
What is 6x10?,6x10=60
value of 16-19?,16-19=-3
what's3-17?,3-17=-14
" hey, what's9/8?",9/8=1.125
What is 9x14?,9x14=126
value of 7x19?,7x19=133
" hey, what's4x2?",4x2=8
What is 12+2?,12+2=14
" hey, what's16-20?",16-20=-4
what's19x9?,19x9=171
what's2x15?,2x15=30
value of 5+14?,5+14=19
What is 18/1?,18/1=18.0
What is 15+3?,15+3=18
what's14-19?,14-19=-5
value of 15x15?,15x15=225
" hey, what's3/14?",3/14=0.21428571428571427
What is 5x4?,5x4=20
" hey, what's13-17?",13-17=-4
What is 7x19?,7x19=133
What is 4-14?,4-14=-10
What is 17/9?,17/9=1.8888888888888888
what's10/14?,10/14=0.7142857142857143
" hey, what's1/20?",1/20=0.05
value of 4x1?,4x1=4
value of 1-2?,1-2=-1
value of 5-3?,5-3=2
What is 8x10?,8x10=80
what's19/12?,19/12=1.5833333333333333
value of 7+10?,7+10=17
" hey, what's14+6?",14+6=20
value of 10x15?,10x15=150
What is 21x2?,21x2=42
value of 9+4?,9+4=13
what's11-3?,11-3=8
value of 14-1?,14-1=13
value of 12/1?,12/1=12.0
" hey, what's5x7?",5x7=35
what's18x7?,18x7=126
value of 8-12?,8-12=-4
What is 5-10?,5-10=-5
value of 2+4?,2+4=6
value of 10-16?,10-16=-6
What is 3x18?,3x18=54
value of 14x1?,14x1=14
what's13x1?,13x1=13
What is 11-5?,11-5=6
" hey, what's12/7?",12/7=1.7142857142857142
what's8-3?,8-3=5
what's18x3?,18x3=54
what's10/7?,10/7=1.4285714285714286
What is 20-4?,20-4=16
What is 8x4?,8x4=32
" hey, what's19/3?",19/3=6.333333333333333
what's19+8?,19+8=27
What is 12+7?,12+7=19
What is 5+18?,5+18=23
value of 5x2?,5x2=10
value of 12/9?,12/9=1.3333333333333333
What is 18-15?,18-15=3
what's12x13?,12x13=156
what's11+6?,11+6=17
value of 4+6?,4+6=10
value of 16/17?,16/17=0.9411764705882353
What is 14/5?,14/5=2.8
value of 11x19?,11x19=209
What is 9/14?,9/14=0.6428571428571429
value of 12x12?,12x12=144
what's19-10?,19-10=9
What is 18-9?,18-9=9
what's3+16?,3+16=19
" hey, what's3+11?",3+11=14
value of 20/7?,20/7=2.857142857142857
value of 4-10?,4-10=-6
What is 14x1?,14x1=14
what's9-1?,9-1=8
value of 21+7?,21+7=28
What is 6-4?,6-4=2
what's5/2?,5/2=2.5
value of 12-15?,12-15=-3
value of 2-1?,2-1=1
" hey, what's19-3?",19-3=16
value of 14-3?,14-3=11
What is 15/3?,15/3=5.0
what's19-19?,19-19=0
what's6+2?,6+2=8
value of 1x7?,1x7=7
value of 3x8?,3x8=24
" hey, what's7x18?",7x18=126
value of 10/12?,10/12=0.8333333333333334
" hey, what's20-10?",20-10=10
" hey, what's10-6?",10-6=4
What is 20-13?,20-13=7
what's12-11?,12-11=1
what's9+18?,9+18=27
What is 16/6?,16/6=2.6666666666666665
value of 5+4?,5+4=9
What is 11-17?,11-17=-6
value of 2x12?,2x12=24
value of 9+19?,9+19=28
" hey, what's15x15?",15x15=225
What is 14x11?,14x11=154
value of 15/14?,15/14=1.0714285714285714
what's10-7?,10-7=3
value of 18-4?,18-4=14
What is 7/5?,7/5=1.4
" hey, what's18/9?",18/9=2.0
value of 4x6?,4x6=24
" hey, what's6+10?",6+10=16
what's13-14?,13-14=-1
value of 9-9?,9-9=0
" hey, what's12x5?",12x5=60
" hey, what's12/1?",12/1=12.0
what's15+10?,15+10=25
" hey, what's12x15?",12x15=180
what's16x14?,16x14=224
what's8/7?,8/7=1.1428571428571428
" hey, what's1/8?",1/8=0.125
value of 1/11?,1/11=0.09090909090909091
" hey, what's14-3?",14-3=11
" hey, what's15/19?",15/19=0.7894736842105263
What is 2-16?,2-16=-14
What is 10-9?,10-9=1
what's13+5?,13+5=18
what's14x2?,14x2=28
what's11x18?,11x18=198
What is 15x14?,15x14=210
" hey, what's4/12?",4/12=0.3333333333333333
value of 6+9?,6+9=15
value of 2+7?,2+7=9
What is 7-16?,7-16=-9
what's5-5?,5-5=0
What is 9-6?,9-6=3
What is 12x13?,12x13=156
" hey, what's16x20?",16x20=320
What is 16+18?,16+18=34
" hey, what's1+7?",1+7=8
" hey, what's5-1?",5-1=4
what's14-1?,14-1=13
what's17-18?,17-18=-1
value of 9-12?,9-12=-3
value of 9x18?,9x18=162
value of 11-7?,11-7=4
what's11/8?,11/8=1.375
what's19/14?,19/14=1.3571428571428572
What is 3x9?,3x9=27
what's13/7?,13/7=1.8571428571428572
value of 14-20?,14-20=-6
value of 9x12?,9x12=108
what's14+8?,14+8=22
" hey, what's1x5?",1x5=5
What is 2+4?,2+4=6
" hey, what's1+14?",1+14=15
what's15-9?,15-9=6
What is 13+17?,13+17=30
What is 12x12?,12x12=144
what's7-13?,7-13=-6
what's15-1?,15-1=14
" hey, what's20+2?",20+2=22
" hey, what's13-13?",13-13=0
value of 18/9?,18/9=2.0
what's19x7?,19x7=133
What is 15x9?,15x9=135
" hey, what's16+20?",16+20=36
What is 15/17?,15/17=0.8823529411764706
what's1-14?,1-14=-13
value of 3/7?,3/7=0.42857142857142855
" hey, what's15x16?",15x16=240
value of 14x6?,14x6=84
" hey, what's19-4?",19-4=15
what's20/14?,20/14=1.4285714285714286
what's4+11?,4+11=15
value of 3x7?,3x7=21
value of 20/4?,20/4=5.0
" hey, what's6x16?",6x16=96
what's14+2?,14+2=16
what's5-2?,5-2=3
" hey, what's12-7?",12-7=5
" hey, what's5/19?",5/19=0.2631578947368421
what's20/19?,20/19=1.0526315789473684
" hey, what's3-14?",3-14=-11
" hey, what's9/11?",9/11=0.8181818181818182
What is 21/11?,21/11=1.9090909090909092
what's4-2?,4-2=2
value of 3/20?,3/20=0.15
what's14-18?,14-18=-4
" hey, what's5/4?",5/4=1.25
" hey, what's14x10?",14x10=140
" hey, what's6+20?",6+20=26
What is 9x4?,9x4=36
what's5+12?,5+12=17
What is 4+11?,4+11=15
" hey, what's8+11?",8+11=19
" hey, what's11-11?",11-11=0
What is 1/16?,1/16=0.0625
What is 8x5?,8x5=40
What is 1-2?,1-2=-1
what's21+7?,21+7=28
What is 16-12?,16-12=4
What is 17x16?,17x16=272
value of 16-15?,16-15=1
what's8/10?,8/10=0.8
value of 14x16?,14x16=224
" hey, what's12x18?",12x18=216
" hey, what's19-16?",19-16=3
what's12x18?,12x18=216
what's4x13?,4x13=52
value of 10/3?,10/3=3.3333333333333335
" hey, what's6+6?",6+6=12
what's10x20?,10x20=200
what's12x10?,12x10=120
what's3/3?,3/3=1.0
What is 10/19?,10/19=0.5263157894736842
what's17+9?,17+9=26
What is 20x16?,20x16=320
What is 8x1?,8x1=8
what's4x14?,4x14=56
value of 16/3?,16/3=5.333333333333333
value of 13x11?,13x11=143
What is 6/15?,6/15=0.4
What is 4+16?,4+16=20
What is 17+12?,17+12=29
" hey, what's19x20?",19x20=380
" hey, what's15-1?",15-1=14
What is 17+20?,17+20=37
" hey, what's20-14?",20-14=6
" hey, what's21+2?",21+2=23
value of 7+12?,7+12=19
" hey, what's18+7?",18+7=25
value of 9-15?,9-15=-6
" hey, what's5/8?",5/8=0.625
what's15-19?,15-19=-4
value of 6+19?,6+19=25
What is 2x11?,2x11=22
value of 15-18?,15-18=-3
value of 9-2?,9-2=7
What is 10+18?,10+18=28
value of 15+18?,15+18=33
" hey, what's7x20?",7x20=140
What is 17/19?,17/19=0.8947368421052632
value of 2/13?,2/13=0.15384615384615385
" hey, what's1+15?",1+15=16
" hey, what's16+17?",16+17=33
value of 3/16?,3/16=0.1875
what's11x16?,11x16=176
What is 12+17?,12+17=29
What is 3/12?,3/12=0.25
What is 13-5?,13-5=8
value of 3/1?,3/1=3.0
" hey, what's13-6?",13-6=7
What is 18x3?,18x3=54
value of 16/15?,16/15=1.0666666666666667
what's5-11?,5-11=-6
" hey, what's14/17?",14/17=0.8235294117647058
what's4-8?,4-8=-4
" hey, what's19-14?",19-14=5
What is 11+3?,11+3=14
What is 21+1?,21+1=22
value of 8+8?,8+8=16
what's11x6?,11x6=66
What is 5+8?,5+8=13
" hey, what's16+11?",16+11=27
" hey, what's14x12?",14x12=168
What is 13-2?,13-2=11
" hey, what's3+15?",3+15=18
" hey, what's18/17?",18/17=1.0588235294117647
what's9/3?,9/3=3.0
value of 8+15?,8+15=23
What is 7+7?,7+7=14
What is 8/7?,8/7=1.1428571428571428
" hey, what's11-16?",11-16=-5
" hey, what's1x7?",1x7=7
what's13x10?,13x10=130
value of 7+16?,7+16=23
value of 21/8?,21/8=2.625
value of 4-1?,4-1=3
